0,14,32,0
1,28,675,1
2,42,44,2
3,57,1014,3
4,71,351,4
5,85,705,5
6,133,104,6
7,166,1696,7
8,216,174,8
9,233,451,9
10,250,142,10
11,266,229,11
12,283,70,12
13,320,854,13
14,340,395,14
15,360,400,15
16,380,700,16
17,425,1211,17
18,450,443,18
19,475,145,19
20,520,15,20
21,540,181,21
22,560,313,22
23,580,2517,23
24,620,38,24
25,640,713,25
26,660,290,26
27,680,1643,27
28,750,606,28
29,833,688,29
30,866,47,30
31,912,466,31
32,925,1164,32
33,937,667,33
34,950,268,34
35,962,602,35
36,975,848,36
37,987,1429,37
38,1016,1044,38
39,1033,298,39
40,1050,132,40
41,1066,1688,41
42,1083,541,42
43,1120,392,43
44,1140,136,44
45,1160,309,45
46,1180,786,46
47,1211,29,47
48,1222,759,48
49,1233,971,49
50,1244,861,50
51,1255,172,51
52,1266,801,52
53,1277,17,53
54,1288,317,54
55,1333,1254,55
56,1366,102,56
57,1425,77,57
58,1450,853,58
59,1475,34,59
60,1525,1021,60
61,1550,115,61
62,1575,453,62
63,1614,530,63
64,1628,69,64
65,1642,189,65
66,1657,645,66
67,1671,165,67
68,1685,760,68
69,1712,1317,69
70,1725,577,70
71,1737,2383,71
72,1750,161,72
73,1762,1104,73
74,1775,226,74
75,1787,164,75
76,1812,1271,76
77,1825,701,77
78,1837,274,78
79,1850,81,79
80,1862,955,80
81,1875,256,81
82,1887,88,82
83,1920,11,83
84,1940,526,84
85,1960,8,85
86,1980,704,86
87,2025,961,87
88,2050,612,88
89,2075,630,89
90,2150,182,90
91,2211,67,91
92,2222,330,92
93,2233,2145,93
94,2244,309,94
95,2255,3178,95
96,2266,496,96
97,2277,15,97
98,2288,165,98
99,2314,108,99
100,2328,1814,100
101,2342,138,101
102,2357,102,102
103,2371,319,103
104,2385,406,104
105,2420,69,105
106,2440,177,106
107,2460,490,107
108,2480,328,108
109,2550,109,109
110,2620,100,110
111,2640,111,111
112,2660,225,112
113,2680,40,113
114,2750,596,114
115,2820,1087,115
116,2840,694,116
117,2860,66,117
118,2880,185,118
119,2933,185,119
120,2966,148,120
121,3033,444,121
122,3066,451,122
123,3114,110,123
124,3128,105,124
125,3142,826,125
126,3157,46,126
127,3171,150,127
128,3185,2061,128
129,3214,151,129
130,3228,788,130
131,3242,354,131
132,3257,507,132
133,3271,501,133
134,3285,25,134
135,3320,165,135
136,3340,506,136
137,3360,20,137
138,3380,675,138
139,3416,357,139
140,3433,321,140
141,3450,992,141
142,3466,579,142
143,3483,231,143
144,3533,137,144
145,3566,911,145
146,3625,80,146
147,3650,24,147
148,3675,1240,148
149,3725,241,149
150,3750,891,150
151,3775,88,151
152,3825,340,152
153,3850,1021,153
154,3875,691,154
155,3916,471,155
156,3933,628,156
157,3950,56,157
158,3966,1062,158
159,3983,824,159
160,4033,236,160
161,4066,128,161
162,4133,500,162
163,4166,860,163
164,4220,203,164
165,4240,259,165
166,4260,116,166
167,4280,48,167
168,4316,294,168
169,4333,81,169
170,4350,96,170
171,4366,772,171
172,4383,301,172
173,4433,2621,173
174,4466,34,174
175,4520,98,175
176,4540,674,176
177,4560,1141,177
178,4580,418,178
179,4625,959,179
180,4650,1395,180
181,4675,405,181
182,4720,1022,182
183,4740,109,183
184,4760,402,184
185,4780,199,185
186,4816,200,186
187,4833,761,187
188,4850,175,188
189,4866,100,189
190,4883,83,190
191,4933,361,191
192,4966,2633,192
193,5033,1272,193
194,5066,310,194
195,5114,6,195
196,5128,14,196
197,5142,475,197
198,5157,127,198
199,5171,698,199
200,5185,137,200
201,5216,67,201
202,5233,814,202
203,5250,708,203
204,5266,81,204
205,5283,1018,205
206,5325,167,206
207,5350,152,207
208,5375,43,208
209,5425,1323,209
210,5450,164,210
211,5475,718,211
212,5550,94,212
213,5625,141,213
214,5650,953,214
215,5675,998,215
216,5733,2252,216
217,5766,754,217
218,5814,277,218
219,5828,1263,219
220,5842,601,220
221,5857,859,221
222,5871,1052,222
223,5885,535,223
224,5925,270,224
225,5950,563,225
226,5975,512,226
